,Rneck,Delta V (mV) Spine Head,Delta V (mV) Dendritic Shaft
279,71.72968834395256,15.410357983670501,12.03028063562325
280,72.56925574148455,15.443538668466495,12.02227957712065
281,72.93154960618627,15.457949778295898,12.018829935340314
282,74.24503159920909,15.510127150885126,12.00633862774314
283,74.44745894822935,15.51815879614665,12.004415655143234
284,74.71044255089858,15.52858925906768,12.001918272347716
285,75.16847664702651,15.546745437068267,11.997570912873606
286,75.93090898859774,15.576938560212632,11.990340863428663
287,75.9614553714581,15.578147470017392,11.990051364401424
288,76.35456745161156,15.593700134657936,11.986326854201046
289,76.75090605718893,15.60937065897155,11.982573946439345
290,76.94253309504722,15.616943732225934,11.980760225774823
291,78.58165686435566,15.681628080747103,11.965298070260857
292,79.2523256732142,15.708250668019915,11.959013636103634
293,79.74697633092582,15.728032457634406,11.954382520941174
294,80.77158414359845,15.768958114439705,11.944800431664603
295,80.7800133554874,15.769294521690561,11.944721661867192
296,80.93102131626684,15.775320435030117,11.943310680459987
297,82.32371248870031,15.83082661347769,11.930312486469134
298,83.53029408521073,15.878815513649108,11.91907284213918
299,84.15921513695999,15.90379272251404,11.913222206845141
300,85.17861415225481,15.944224350184115,11.903750644515021
301,86.5656559611002,15.999339126434478,11.890886145634333
302,87.48579838896137,16.036274785479478,11.88236662679219
303,88.06825239806618,16.059626810056493,11.876979750140116
304,88.30839412704833,16.06924828525714,11.874760136864971
305,89.59554243896444,16.12075537328497,11.86287662055021
306,89.7884245267635,16.128464609525352,11.86109780911515
307,90.78042579840651,16.168075691209026,11.851957369901328
308,91.46983374082741,16.195566795731928,11.845613022486923
309,91.89662761150271,16.21257050574698,11.841688675657856
310,91.9994040922723,16.21666343542116,11.840744026136349
311,92.0725748745758,16.219576946631705,11.840071579549821
312,92.45258513710226,16.23470266189085,11.836580426878228
313,92.51984241991809,16.23737876980423,11.835962740454079
314,93.20587396729665,16.26465883035319,11.829665816446266
315,94.50893845498562,16.31664311700986,11.817723042767348
316,94.91611709288699,16.33303796921605,11.813995960835015
317,95.42136882077787,16.353366532657027,11.809374321733266
318,95.65850491140093,16.362901810463754,11.807206396052905
319,96.2214547728404,16.385523337466708,11.802062924513223
320,96.2490474317093,16.386631584800803,11.801810931923221
321,96.74489355144286,16.40653853127207,11.797284340107488
322,97.4789720428564,16.435980367666353,11.790589085158963
323,97.48289830596381,16.436137744422524,11.790553294954357
324,97.52496606245,16.4378238868729,11.790169835743967
325,99.38208628367096,16.51214527765238,11.773265735319903
326,99.75799853786647,16.52716187194512,11.769849783114623
327,100.57976957033546,16.55995730071941,11.762388971616957
328,101.27610898476391,16.587712746991727,11.756074139286504
329,101.60865363710876,16.600956608796487,11.753060749647886
